rama_region,ABDB Motifs,PPI Motifs,CDRs,FRs,ABDB paratope binders,PPI binders
A,"9,00843","58,4386","12,8369","5,84063","11,3807","50,5803"
B,"41,2848","10,6144","32,278","55,3079","32,4339","12,6875"
D,"16,1076","12,6688","16,9062","6,97998","17,9251","14,0062"
E,"1,63123","0,874549","1,26742","2,66351","1,45795","1,05638"
G,"1,09054","0,127534","1,61948","0,132778","0,456969","0,134929"
P,"17,8763","9,32746","23,1608","21,9624","20,8791","12,0949"
U,"0,11608","0,0447845","0,116544","0,0174917","0,103362","0,0525355"
Z,"0,617058","0,763156","0,713835","0,486587","0,805135","0,834899"
_,"1,40213","1,58655","1,78944","0,911158","1,59395","1,6218"
d,"7,36498","3,97559","5,64998","4,78239","7,45294","5,09405"
g,"2,0314","0,923198","2,27504","0,240113","3,47079","1,16183"
p,"1,46933","0,6554","1,38639","0,67502","2,04004","0,674647"
