motif,XXX,XXXX,XXXX1X,XXXXX,XXXXXX,XXX1X,XX,XXXXXXX,X1X,XX1X
XXX,100.0,14.8,13.1,11.5,9.8,12.6,18.6,4.4,12.0,11.5
XXXX,19.1,100.0,14.9,13.5,13.5,15.6,9.2,4.3,9.2,8.5
XXXX1X,19.8,17.4,100.0,19.0,14.9,17.4,6.6,7.4,7.4,9.1
XXXXX,17.5,15.8,19.2,100.0,15.0,15.8,8.3,5.0,10.0,10.0
XXXXXX,16.2,17.1,16.2,16.2,100.0,11.7,4.5,7.2,4.5,7.2
XXX1X,25.8,24.7,23.6,21.3,14.6,100.0,12.4,5.6,9.0,11.2
XX,53.1,20.3,12.5,15.6,7.8,17.2,100.0,6.2,40.6,28.1
XXXXXXX,13.6,10.2,15.3,10.2,13.6,8.5,6.8,100.0,5.1,8.5
X1X,40.0,23.6,16.4,21.8,9.1,14.5,47.3,5.5,100.0,30.9
XX1X,40.4,23.1,21.2,23.1,15.4,19.2,34.6,9.6,32.7,100.0
