"id","group","score"
"XXX","Paratope",183
"XXXX","Paratope",141
"XXXX1X","Paratope",121
"XXXXX","Paratope",120
"XXXXXX","Paratope",111
"XXX1X","Paratope",89
"XX","Paratope",64
"XXXXXXX","Paratope",59
"X1X","Paratope",55
"XX1X","Paratope",52
"X1XXX","Paratope",39
"XXX1X1X","Paratope",39
"X1XX","Paratope",37
"X1XXX1X1X","Paratope",35
"XXXXX1X","Paratope",34
"X1X1X","Paratope",32
"XX1X1X","Paratope",29
"XXXXXXXX","Paratope",27
"XXXXXX1X","Paratope",26
"X2X","Paratope",25
"X2XXXX","Paratope",25
"X1XXXXX1X","Paratope",24
"X1XXXX","Paratope",23
"X1X1X1X1X","Paratope",22
"X1XXX1X","Paratope",21
"X2X1X","Paratope",21
"X2XXX","Paratope",19
"X4XX","Paratope",19
"XXXXXXXXX","Paratope",19
"X1XXXXX","Paratope",18
"X1X1X1X","Paratope",17
"X1XX1X","Paratope",15
"X1XXX1XXX","Paratope",15
"X1XXXXXXXXXXX1X","Paratope",15
"X4X","Paratope",15
"X1XXXXXX1X","Paratope",14
"X5X","Paratope",14
"XXX3X","Paratope",13
"XXXXX1XXX","Paratope",13
"XXX2X","Paratope",12
"X1X1XXX","Paratope",11
"XX4X","Paratope",11
"XXXXXXXXXX","Paratope",11
"X1X3X1X","Paratope",10
"X1XXXX1X","Paratope",10
"XX2X","Paratope",10
"XX3X","Paratope",10
"XXXX1X1X","Paratope",10
"X1X1X1XXX","Paratope",9
"X1X2X","Paratope",9
"X1XX1X1X","Paratope",9
"X1XXXXXX","Paratope",9
"X2XX","Paratope",9
"XX4XX","Paratope",9
"XXXX1XX","Paratope",9
"XXXXXXXX1X","Paratope",9
"X1XXXXXXX","Paratope",8
"X1XXXXXXXXXX2X","Paratope",8
"X2X1XX","Paratope",8
"X3X","Paratope",8
"X3XXX","Paratope",8
"XXX1XX","Paratope",8
"X23XXX1X","Paratope",7
"XX1XX","Paratope",7
"XX1XXX","Paratope",7
"XX23XXX1X","Paratope",7
"XXX1X1XXX","Paratope",7
"XXX1XX1X","Paratope",7
"XXXXX1XX","Paratope",7
"XXXXX2X","Paratope",7
"X1X1XX","Paratope",6
"X1XX1XX","Paratope",6
"X1XX2X","Paratope",6
"X2XX1X","Paratope",6
"X9X2X","Paratope",6
"XXX1XXX","Paratope",6
"XXXX2X","Paratope",6
"X1X1XXXXX","Paratope",5
"X1XXXX1X1X","Paratope",5
"X2X2X","Paratope",5
"X4XXXX1X1X","Paratope",5
"XXXX2XX","Paratope",5
"XXXX3X","Paratope",5
"XXXXXXX1X","Paratope",5
"XXXXXXXXXXXXX","Paratope",5
"X1X2XX2X1X","Paratope",4
"X1X2XXXX","Paratope",4
"X1XX4X","Paratope",4
"X1XXX1X1XX","Paratope",4
"X1XXXXXXXXXXX","Paratope",4
"X21X","Paratope",4
"X2X1X1X","Paratope",4
"X2XXXXXXXXXX1X","Paratope",4
"X4XXX1X1X","Paratope",4
"X5XX","Paratope",4
"XX1XX1X","Paratope",4
"XX1XXX1X","Paratope",4
"XX2XX","Paratope",4
"XXX2XX","Paratope",4
"XXXXX1XXXX","Paratope",4
"XXXXXX1X1X","Paratope",4
"XXXXXX3X","Paratope",4
"XXXXXXX1XXXXXXX1X","Paratope",4
"XXXXXXXXXXX","Paratope",4
"X1X2X1X","Paratope",3
"X1X3XXX","Paratope",3
