"id","group","score"
"XXXX","PPI_motif",160
"XXX","PPI_motif",145
"XX","PPI_motif",132
"XXXXX","PPI_motif",122
"XXXXXX","PPI_motif",97
"XX2X","PPI_motif",92
"XX1X","PPI_motif",89
"X2XX","PPI_motif",76
"XX1XX","PPI_motif",75
"X2XX2X","PPI_motif",71
"XX2XX","PPI_motif",70
"XXX2X","PPI_motif",67
"X1XX","PPI_motif",63
"XXXXXXX","PPI_motif",57
"X2XXX","PPI_motif",55
"X1XX1X","PPI_motif",54
"X1XXXX","PPI_motif",48
"X2X","PPI_motif",48
"X2XX2XX","PPI_motif",48
"XX3X","PPI_motif",47
"X2X3X","PPI_motif",46
"X1XXX","PPI_motif",43
"X3X2X","PPI_motif",42
"X3X2XX","PPI_motif",41
"XXX1X","PPI_motif",40
"XXXX1X","PPI_motif",40
"XX1XX2X","PPI_motif",38
"XXX1XX","PPI_motif",37
"XX1X2X","PPI_motif",36
"XXX2XX","PPI_motif",36
"X1X","PPI_motif",35
"X3XX","PPI_motif",35
"XX2XX2X","PPI_motif",35
"XX3XX","PPI_motif",35
"XX2X3X","PPI_motif",33
"XXXXXXXX","PPI_motif",33
"X2XX1X","PPI_motif",31
"XXXX1XX","PPI_motif",30
"XXXX3X","PPI_motif",30
"X2X1X","PPI_motif",29
"X3X2XX2X","PPI_motif",29
"XX1XXX","PPI_motif",29
"XX1XXXX","PPI_motif",29
"XXXX2X","PPI_motif",29
"X2XX2XX2X","PPI_motif",27
"X","PPI_motif",26
"X1XX2X","PPI_motif",26
"X3X","PPI_motif",26
"XXX3X","PPI_motif",25
"XX2XX1X","PPI_motif",24
"X3X3X","PPI_motif",23
"XX2XX2XX","PPI_motif",23
"XXX4X","PPI_motif",23
"X1X2X","PPI_motif",22
"X3XX3X","PPI_motif",22
"X3XXX","PPI_motif",22
"XX2X2X","PPI_motif",22
"X3X2X3X","PPI_motif",21
"XXX3XX","PPI_motif",21
"XXXXX1X","PPI_motif",21
"X2XXXX","PPI_motif",20
"X2X3X2X","PPI_motif",19
"X2XX1XX","PPI_motif",19
"XX1X1X","PPI_motif",19
"XX2XX3X","PPI_motif",18
"XX2XXX","PPI_motif",18
"X1X1X","PPI_motif",16
"X2XXXXX","PPI_motif",16
"X3XX2X","PPI_motif",16
"XX1X3X","PPI_motif",16
"XX1XX3X","PPI_motif",16
"XX2X2XX","PPI_motif",16
"X1XX2XX","PPI_motif",15
"X6X2XX","PPI_motif",15
"XXXXXXXXX","PPI_motif",15
"X1XX3X","PPI_motif",14
"X2XX4X","PPI_motif",14
"X4XX","PPI_motif",14
"XX2XX1XX","PPI_motif",14
"XX4X","PPI_motif",14
"X2X4XX1X","PPI_motif",13
"X2XX2X3X","PPI_motif",13
"X3XX1X","PPI_motif",13
"X6X3X","PPI_motif",13
"X1X1XX","PPI_motif",12
"X1XX1XX","PPI_motif",12
"X1XXXXX","PPI_motif",12
"X2X3X2XX","PPI_motif",12
"X2XXX1X","PPI_motif",12
"X3XXXX","PPI_motif",12
"XX1XX1X","PPI_motif",12
"XX2X3X2XX2X1XXX","PPI_motif",12
"XX2X4X","PPI_motif",12
"XXX2XX1XX","PPI_motif",12
"XXXX1XX1X","PPI_motif",12
"X2XX2X2XX","PPI_motif",11
"X2XXXXXX","PPI_motif",11
"X3X1X","PPI_motif",11
"X4X1XX","PPI_motif",11
"X5XXX","PPI_motif",11
"X6X","PPI_motif",11
"X6X2X","PPI_motif",11
"XX1X1XX","PPI_motif",11
"XX1X2XX","PPI_motif",11
"XX1XX2XX","PPI_motif",11
"XX3XXX","PPI_motif",11
"XX4XX","PPI_motif",11
"XXXXX2X","PPI_motif",11
"X1X4X","PPI_motif",10
"X1XXXXXXX","PPI_motif",10
"X2X1XX","PPI_motif",10
"X2XXX2X","PPI_motif",10
"X3X2XXX","PPI_motif",10
"X3X6X","PPI_motif",10
"X3XX1XX","PPI_motif",10
"X4XXXX","PPI_motif",10
"XX2X3X2X","PPI_motif",10
"XX5XX","PPI_motif",10
"XXX1X1X","PPI_motif",10
"XXX2X3X","PPI_motif",10
"XXXXXX1X","PPI_motif",10
"X1X2XX","PPI_motif",9
"X2X1X1X","PPI_motif",9
"X2X3XX","PPI_motif",9
"X2X4X2X","PPI_motif",9
"X2XX2XX2XX2X","PPI_motif",9
"X3X2X3X2X","PPI_motif",9
"X3X2X6X","PPI_motif",9
"X3XX3XX","PPI_motif",9
"XX2X1X","PPI_motif",9
"XX2X6X","PPI_motif",9
"XX2XX2XXX","PPI_motif",9
"XX3X1X","PPI_motif",9
"XXX2XX1X","PPI_motif",9
"XXX2XX3X","PPI_motif",9
"XXX2XXX","PPI_motif",9
"XXXXXXX1X","PPI_motif",9
"X1X2X1X","PPI_motif",8
"X1X3X","PPI_motif",8
"X2X2X","PPI_motif",8
"X2X2XX2X","PPI_motif",8
"X2X3X7X","PPI_motif",8
"X2XX2X3X2X","PPI_motif",8
"X2XX3X","PPI_motif",8
"X3X2XX1XX","PPI_motif",8
"X3X4X","PPI_motif",8
"X6X3XX","PPI_motif",8
"X6XX2X","PPI_motif",8
"XX1X3XX","PPI_motif",8
"XX1XX1XX","PPI_motif",8
"XX2XX1XX2XX2X2XX1XX2XX2X","PPI_motif",8
"XX6X","PPI_motif",8
"XX7X","PPI_motif",8
"XXX1XXX","PPI_motif",8
"XXX2X3XX","PPI_motif",8
"XXX5X","PPI_motif",8
"XXXXXXX2X","PPI_motif",8
"X1X1X1X","PPI_motif",7
"X1X3XX","PPI_motif",7
"X1XX2X3X","PPI_motif",7
"X2X2XX","PPI_motif",7
"X2X5X1X","PPI_motif",7
"X2X6XX","PPI_motif",7
"X2XX2X2X","PPI_motif",7
"X2XX2X7X","PPI_motif",7
"X3X6X3X","PPI_motif",7
"X3XX2XX","PPI_motif",7
"X6XX","PPI_motif",7
"XX1XXX2X","PPI_motif",7
"XX1XXXXX","PPI_motif",7
"XX2X3X2XX2XXXX","PPI_motif",7
"XX2X6XX","PPI_motif",7
"XX2XX2XX2X","PPI_motif",7
"XX2XX4X","PPI_motif",7
"XX3X3X","PPI_motif",7
"XXXX1XX3X","PPI_motif",7
"XXXXX3X","PPI_motif",7
"XXXXXX2X","PPI_motif",7
"XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX","PPI_motif",7
"X1XX1X1X","PPI_motif",6
"X1XX2X2X","PPI_motif",6
"X2XX1XX2X","PPI_motif",6
"X2XX2X5X","PPI_motif",6
"X2XX6X","PPI_motif",6
"X2XXX1XX","PPI_motif",6
"X3X2XX1XX2XX","PPI_motif",6
"X3X3X2X","PPI_motif",6
"X3X3XX","PPI_motif",6
"X3X6XX","PPI_motif",6
"X3X7X","PPI_motif",6
"X3XX1XX2X","PPI_motif",6
"X4X","PPI_motif",6
"X4X2X3X","PPI_motif",6
"X4X2XX","PPI_motif",6
"X4XXX","PPI_motif",6
"X5XX","PPI_motif",6
"X5XXXX","PPI_motif",6
"X6X2X3X","PPI_motif",6
"XX1X4X","PPI_motif",6
"XX1XX2X3X","PPI_motif",6
"XX1XX2XX2X","PPI_motif",6
"XX1XX6X","PPI_motif",6
"XX1XXXXXX","PPI_motif",6
"XX2X2X3X","PPI_motif",6
"XX2XX1XX2XX","PPI_motif",6
"XX5X","PPI_motif",6
"XXX1XX1X","PPI_motif",6
"XXX4X1X","PPI_motif",6
"XXX4XX","PPI_motif",6
"XXX6X","PPI_motif",6
"XXX7X","PPI_motif",6
"XXXX3X6X","PPI_motif",6
"XXXXXXXX1X","PPI_motif",6
"X1X1X1X1X","PPI_motif",5
"X1X2X3XX","PPI_motif",5
"X1X2XX2X2X","PPI_motif",5
"X1X3XXXX","PPI_motif",5
"X1X4XX","PPI_motif",5
"X1X5X","PPI_motif",5
"X1XXXXXX","PPI_motif",5
"X2X1X3X","PPI_motif",5
"X2X1XX1X","PPI_motif",5
"X2X3X4X","PPI_motif",5
