"source","target","weight"
"X","X*",90
"X","X100X98X3X*",1
"X","X101X1X*",1
"X","X101X99X*",1
"X","X102X*",1
"X","X103X*",1
"X","X103X102X*",1
"X","X104X*",1
"X","X104X41X31X8X9X38X117X*",1
"X","X107X1X120X*",1
"X","X108X*",1
"X","X109X*",1
"X","X109XXX106X*",1
"X","X10X*",1
"X","X10X11XX14XX*",1
"X","X10X13X38X*",1
"X","X10X18X27X*",1
"X","X10X1X*",1
"X","X10X1X96X*",1
"X","X10X206X*",1
"X","X10X2X*",1
"X","X10X2X33X27X*",1
"X","X10X2X6X90X*",1
"X","X10X300X1X81X*",1
"X","X10X3X*",1
"X","X10X3X62X63X3X2X*",1
"X","X10X7X*",1
"X","X10X8X231X1X*",1
"X","X10XX2X60X*",1
"X","X10XX42X34X*",1
"X","X10XX4X40X4X17X*",1
"X","X10XX65X63X2X3X2X*",1
"X","X111X107X*",1
"X","X113X*",1
"X","X113X111X75XX*",1
"X","X114X*",1
"X","X114X107X106X104X*",1
"X","X115X170X*",1
"X","X115X2X*",1
"X","X115X3X117X*",1
"X","X115XX1X*",1
"X","X115XXX*",1
"X","X116X46X68X3X1X*",1
"X","X117X114X*",1
"X","X117X22X16X*",1
"X","X11X*",1
"X","X11X10X*",1
"X","X11X10X4X*",1
"X","X11X12X*",1
"X","X11X12X3X*",1
"X","X11X19X*",1
"X","X11X1X*",1
"X","X11X1X2X*",1
"X","X11X24X10X*",1
"X","X11X2X15X13X14X*",1
"X","X11X2X94X*",1
"X","X11X55X47X2X43X*",1
"X","X11X7X15X*",1
"X","X11X7XX3X*",1
"X","X11X9X*",1
"X","X11XXX*",1
"X","X121X*",1
"X","X121X76X74X93XX46X*",1
"X","X124X25X3X*",1
"X","X126X2X*",1
"X","X127X*",1
"X","X128X*",1
"X","X128X2X2XX*",1
"X","X12X*",1
"X","X12X1X*",1
"X","X12X21X*",1
"X","X12X24X*",1
"X","X12X3X7X35X*",1
"X","X12X7X1X*",1
"X","X12XX*",1
"X","X130X*",1
"X","X130X1X134X1X2X58X54X*",1
"X","X131X*",1
"X","X132X*",1
"X","X132X127X*",1
"X","X133X2X127X3X*",1
"X","X134X*",1
"X","X134X42X56XX*",1
"X","X134XXX*",1
"X","X135XX3X1X*",1
"X","X136X1X*",1
"X","X136X1X40X47X*",1
"X","X137X*",1
"X","X137X4X*",1
"X","X138X*",1
"X","X13X*",1
"X","X13X11X*",1
"X","X13X1X*",1
"X","X13X2X35X1X46XX*",1
"X","X13X2XX1X7X*",1
"X","X13X3X36X83X38X*",1
"X","X13X3XX17X*",1
"X","X13X4X2X*",1
"X","X13X6XX*",1
"X","X13XX24X*",1
"X","X13XX2X*",1
"X","X140X*",1
"X","X140X166X22X*",1
"X","X141X*",1
"X","X141X143X*",1
"X","X142X*",1
"X","X143X176X*",1
"X","X143X88X*",1
"X","X144X*",1
"X","X145X*",1
"X","X145X18X*",1
"X","X146X60X1X91XX1X*",1
"X","X147X*",1
"X","X147X58X3XX1X92XX1X*",1
"X","X148X145X144X*",1
"X","X148X146X*",1
"X","X148X156X1X*",1
"X","X148X20X15X*",1
"X","X148X3X*",1
"X","X148X57X4XX90XX1X7X*",1
"X","X148XX*",1
"X","X149X148XX107X103X*",1
"X","X149X62X1XX92X1X5X*",1
"X","X14X*",1
"X","X14X12X*",1
"X","X14X15X*",1
"X","X14X16X17X*",1
"X","X14X1X*",1
"X","X14XX*",1
"X","X150X*",1
"X","X151X148X1X*",1
"X","X151X24X*",1
"X","X153X2X*",1
"X","X154X37X29X31X28X*",1
"X","X155X154X*",1
"X","X155X5X*",1
"X","X159XX*",1
"X","X15X*",1
"X","X15X14X9X1X*",1
"X","X15X17X2X*",1
"X","X15X26X24X*",1
"X","X15X42X3X*",1
"X","X15XX16X2X*",1
"X","X162X53X61X*",1
"X","X162XX366X369X*",1
"X","X163X*",1
"X","X163X59X*",1
"X","X166X163XX*",1
"X","X166X22X141X183X*",1
"X","X167X*",1
"X","X167X21X*",1
"X","X168X*",1
"X","X169X*",1
"X","X169X73X*",1
"X","X16X*",1
"X","X16X143X*",1
"X","X16X1X*",1
"X","X16X1X99X*",1
"X","X16X1XX21X1X*",1
"X","X16X2X*",1
"X","X16X2X8X*",1
"X","X16X2X9X*",1
"X","X16X9X*",1
"X","X16XX19X*",1.5
"X","X170X*",1
"X","X173X145XX58X90X92X93X1X*",1
"X","X173X172X191XX1X217X108X4X5X*",1
"X","X173X192X105X2X86X92X93X1X11X*",1
"X","X173X86X2X4XX93X9X8X*",1
"X","X174X25X61XX1X2X83X177XX*",1
"X","X174X2XX*",1
"X","X176X*",1
"X","X176X177X*",1
"X","X176X1X14X*",1
"X","X176XX179X*",1
"X","X177X*",1
"X","X178X*",1
"X","X178X176X2X1X*",1
"X","X178X1X*",1
"X","X178XX*",1
"X","X179X*",1
"X","X179X177X175X1X174X170X*",1
"X","X179X1X*",1
"X","X179X2X*",1
"X","X179XX*",1
"X","X17X*",1
"X","X17X104XX90X10X2X6X93X*",1
"X","X17X18X*",1
"X","X17X1X102X*",1
"X","X17X23X22X*",1
"X","X17X24XX*",1
"X","X17X2X*",1
"X","X17X3X*",1
"X","X17X43X57X3XX89X1XX1X*",1
"X","X17XX101X*",1
"X","X180X*",1
"X","X180X138X28X4X166X*",1
"X","X180X42XXX*",1.5
"X","X180XX*",1
"X","X181X*",1
"X","X181X183X*",1
"X","X181XX*",1
"X","X182X*",1
"X","X182XX*",1
"X","X183X186X185X184X2X1X11X1XX*",1
"X","X184X178X4X*",1
"X","X184X378X192X1X2X*",1
"X","X184XX1X*",1
"X","X184XXX*",1
"X","X187X*",1
"X","X187X181X*",1
"X","X187X182X*",1
"X","X189X190X109X1X231X4X*",1
"X","X189X190X339X229X*",1
"X","X18X*",1
"X","X18X10X29XX*",1
"X","X18X19X*",1
"X","X18X1X116X*",1
"X","X18X1X3X97XXX110X1X7X*",1
"X","X18X1XX*",1
"X","X18X243X*",1
"X","X18X2X2X*",1
"X","X18X3X*",1
"X","X18X49X*",1
"X","X18XX*",1
"X","X18XX1X*",1
"X","X190X362X318X56X4X89X2XX10X*",1
"X","X190X44X59XX90X91X92XX9X*",1
"X","X191X190X1X2X*",1
"X","X191X2XX*",1
"X","X191XX102X2X103X105X88X1XX6X3X*",1
"X","X192X102X3X108X110X90X93X103X*",1
"X","X192X104X2X4XX91XX2X7X*",1
"X","X192X105XX1X103X10X1X2X*",1
"X","X192X43X57X4XX92XX3X5X*",1
