use_case,data_tag,exp_tag,repldnormmea,repldnormse,ldnormreps,repldexactmea,repldexactse,ldexactreps,source,category
agg_epipara,agg,control_NMT,0.8015625472079546,0.0012042139853122127,8,0.9977805303796689,0.00035145279329802534,8,abdb,control
agg_epipara,agg,exp_NMT,0.7674108656697232,0.003145406996510713,10,0.9887318529688206,0.0002863776684007793,10,abdb,exp
agg_paraepi,agg,control_NMT,0.8400351335214032,0.002499408618020709,6,0.9993276892586316,0.00010639639472139304,6,abdb,control
agg_paraepi,agg,exp_NMT,0.7633518603691106,0.001179274810887468,8,0.9895570855186184,0.00038079922142073035,8,abdb,exp
motif_epipara,motif,control_NMT,0.8078710408035512,0.0025143346820486624,10,0.9897217981216576,0.001490733964763488,10,abdb,control
motif_epipara,motif,exp_NMT,0.4175787722280919,0.003829634440950146,10,0.7112561491628913,0.004719166166424303,10,abdb,exp
motif_epiparapos,motif,control_NMT,0.6765711583976945,0.002679240837758825,10,0.9721948616733141,0.0017811179684804066,10,abdb,control
motif_epiparapos,motif,exp_NMT,0.3553482458583949,0.00293505895500833,10,0.7309393115554692,0.0024278445718731076,10,abdb,exp
motif_paraepi,motif,control_NMT,0.7245838596072457,0.0037442626680348726,10,0.9554875795515964,0.001814294309557617,10,abdb,control
motif_paraepi,motif,exp_NMT,0.3714883828633501,0.0031244686403227736,10,0.6442954491383478,0.003918749287983721,10,abdb,exp
motif_paraepipos,motif,control_NMT,0.5735884416185935,0.002400080433212067,10,0.8766704766712231,0.002776767952714659,10,abdb,control
motif_paraepipos,motif,exp_NMT,0.3519180421166322,0.0034265233157856467,10,0.6085560212616117,0.0035949748801516494,10,abdb,exp
seq_epipara,seq,control_NMT,0.8299955974489277,0.001737735919543671,10,0.9376767079254288,0.0021473341929357263,10,abdb,control
seq_epipara,seq,exp_NMT,0.7786380261398136,0.003054257727683174,10,0.9201822931164216,0.0026471613286934014,10,abdb,exp
seq_paraepi,seq,control_NMT,0.9126933696742804,0.0009582942227391977,10,0.965802544276804,0.000722845480476079,10,abdb,control
seq_paraepi,seq,exp_NMT,0.8695586312275658,0.0013831059207216555,10,0.9460818492974324,0.0009626880297654481,10,abdb,exp
motif_epiparapos,motif,exp_marginal_proba,0.5269164563887856,0.0043567614356425565,10,abdb,0.007736433491958535,10,abdb,exp
motif_epiparapos,motif,exp_cond_proba,0.4196604560896479,0.015545825235142774,10,abdb,0.01126618843485468,10,abdb,exp
motif_epiparapos,motif,exp_cond_proba_with_prior,0.27056552223593633,0.004350688880197496,10,abdb,0.012113644810953398,10,abdb,exp
motif_paraepipos,motif,exp_marginal_proba,0.6065565445259438,0.009822961476126905,10,abdb,0.011191792820064649,10,abdb,exp
motif_paraepipos,motif,exp_cond_proba,0.34784726806583194,0.011348113394531168,10,abdb,0.0071737032916539874,10,abdb,exp
motif_paraepipos,motif,exp_cond_proba_with_prior,0.2848019574764501,0.003337767782260073,10,abdb,0.00776957934629501,10,abdb,exp
motif_epiparapos,motif,control_marginal_proba,0.5311279947488815,0.007888675195324395,10,abdb,0.009916725266880273,10,abdb,control
motif_epiparapos,motif,control_cond_proba,0.6358879350406266,0.012983607649227886,10,abdb,0.012432934651312816,10,abdb,control
motif_epiparapos,motif,control_cond_proba_with_prior,0.5321781172665454,0.008902929073760299,10,abdb,0.013967914668300977,10,abdb,control
motif_paraepipos,motif,control_marginal_proba,0.6071118177476504,0.009179220596034071,10,abdb,0.014246543280052131,10,abdb,control
motif_paraepipos,motif,control_cond_proba,0.6284977304661192,0.00904286623176503,10,abdb,0.008870941098922967,10,abdb,control
motif_paraepipos,motif,control_cond_proba_with_prior,0.6094982509747683,0.011370890170212668,10,abdb,0.010229712307527082,10,abdb,control
seq_epipara,seq,exp_marginal_proba,0.9152744783343538,0.0037947715035542093,10,abdb,0.00555681389622504,10,abdb,exp
seq_epipara,seq,exp_cond_proba,0.9741255081797237,0.004009517486810217,10,abdb,0.0063167393639232865,10,abdb,exp
seq_epipara,seq,exp_cond_proba_with_prior,0.8788516467113631,0.006403378677576139,10,abdb,0.010523039750658394,10,abdb,exp
seq_paraepi,seq,exp_marginal_proba,0.8215399722478041,0.008103986976789438,10,abdb,0.0046429240033482476,10,abdb,exp
seq_paraepi,seq,exp_cond_proba,0.963541133731302,0.002742860111849812,10,abdb,0.0033008069664544914,10,abdb,exp
seq_paraepi,seq,exp_cond_proba_with_prior,0.8456858355524414,0.007635500268428416,10,abdb,0.006233829060618893,10,abdb,exp
