pdbidx,strpdbidx,pdbname,coverage,source,unique_motif
2,s2,2QAD_1,0.25,ab,9
32,s32,5U3N_1,0.25,ab,12
62,s62,4DGV_1,0.5,ab,14
92,s92,1CU4_1,0.375,ab,17
122,s122,3KS0_1,0.4,ab,20
152,s152,2Y06_1,0.4,ab,23
182,s182,3GJF_1,0.16666666666666666,ab,27
212,s212,3V6Z_1,0.42857142857142855,ab,31
242,s242,4NRX_2,0.6,ab,33
272,s272,2I9L_1,0.5714285714285714,ab,35
302,s302,5TIH_1,0.4444444444444444,ab,38
332,s332,5IES_1,0.25,ab,41
362,s362,5SX5_1,0.8333333333333334,ab,42
392,s392,4F3F_1,0.5555555555555556,ab,44
422,s422,4FFW_1,0.5,ab,46
452,s452,5TBD_1,0.4444444444444444,ab,49
482,s482,4UU9_1,0.6666666666666666,ab,50
512,s512,1IKF_1,1.0,ab,50
542,s542,4GXU_1,0.42857142857142855,ab,51
572,s572,5HYS_3,0.7142857142857143,ab,51
602,s602,4PY8_1,0.4,ab,53
632,s632,3TJE_1,0.5714285714285714,ab,55
662,s662,4OLV_1,0.42857142857142855,ab,57
692,s692,2DQC_1,0.5555555555555556,ab,59
722,s722,5JHL_1,0.5714285714285714,ab,60
752,s752,4OII_1,0.4444444444444444,ab,64
782,s782,4Q6I_1,0.8571428571428571,ab,65
812,s812,3RAJ_1,0.5714285714285714,ab,65
2,s2,5MES_1,0.42857142857142855,ab,9
32,s32,5KW9_1,0.5,ab,11
62,s62,4PP2_1,0.2857142857142857,ab,15
92,s92,5F3B_1,0.25,ab,18
122,s122,5B8C_1,0.42857142857142855,ab,21
152,s152,4QNP_1,0.75,ab,22
182,s182,2IH3_1,0.375,ab,24
212,s212,4XMK_1,0.6666666666666666,ab,25
242,s242,4HCR_1,0.5,ab,27
272,s272,4JLR_1,0.8333333333333334,ab,28
302,s302,1FDL_1,0.5,ab,29
332,s332,3L5X_1,0.6,ab,30
362,s362,3LQA_1,0.8,ab,31
392,s392,5TQQ_1,0.4,ab,34
422,s422,5TIH_1,0.5555555555555556,ab,36
452,s452,4OD2_1,0.25,ab,40
482,s482,4DN4_1,0.7142857142857143,ab,40
512,s512,4M1C_1,0.6666666666666666,ab,41
542,s542,4M1D_1,0.2,ab,44
572,s572,4YBL_1,0.8333333333333334,ab,45
602,s602,1CIC_2,0.3333333333333333,ab,46
632,s632,5CIN_1,0.8333333333333334,ab,47
662,s662,3DRQ_1,0.6666666666666666,ab,48
692,s692,4ZFG_1,1.0,ab,48
722,s722,4YFL_1,0.42857142857142855,ab,52
752,s752,4YDL_1,0.3333333333333333,ab,55
782,s782,2GSI_3,0.6666666666666666,ab,57
812,s812,2JIX_2,0.7142857142857143,ab,58
2,s2,4BZ2_1,0.16666666666666666,ab,9
32,s32,3L5X_1,0.2,ab,12
62,s62,1YNT_1,0.5714285714285714,ab,15
92,s92,1PKQ_1,0.5714285714285714,ab,17
122,s122,1P2C_1,0.42857142857142855,ab,19
152,s152,3V7A_1,0.4,ab,21
182,s182,5UGY_1,0.6666666666666666,ab,23
212,s212,2CK0_1,0.6666666666666666,ab,24
242,s242,1CIC_2,0.16666666666666666,ab,26
272,s272,1QFW_2,0.8333333333333334,ab,27
302,s302,4DQO_1,0.0,ab,28
332,s332,3DRQ_1,0.5,ab,30
362,s362,3KS0_1,0.6,ab,32
392,s392,4OGY_2,0.3333333333333333,ab,35
422,s422,1ZA3_1,0.2857142857142857,ab,38
452,s452,3CSY_1,0.5714285714285714,ab,41
482,s482,4LKX_1,0.5,ab,43
512,s512,1KCR_1,0.75,ab,45
542,s542,4G6A_2,0.6,ab,47
572,s572,4M1D_1,0.2,ab,50
602,s602,4XMP_1,0.3333333333333333,ab,53
632,s632,4S1R_1,0.3333333333333333,ab,55
662,s662,4JLR_1,0.8333333333333334,ab,56
692,s692,5DUP_1,0.6666666666666666,ab,57
722,s722,4YC2_2,0.5,ab,58
752,s752,3WD5_1,0.2857142857142857,ab,62
782,s782,4HFU_1,0.6,ab,63
812,s812,4AG4_1,1.0,ab,63
2,s2,5B3J_1,0.2857142857142857,ab,9
32,s32,5T29_1,0.4,ab,12
62,s62,4UV7_1,0.14285714285714285,ab,17
92,s92,4NP4_1,0.5,ab,19
122,s122,2OSL_1,0.6,ab,20
152,s152,1A2Y_1,0.625,ab,21
182,s182,5EN2_1,0.5,ab,23
212,s212,5SX5_1,0.3333333333333333,ab,27
242,s242,2R0K_1,0.5,ab,30
272,s272,4PP2_1,0.5714285714285714,ab,32
302,s302,2YPV_1,0.8571428571428571,ab,33
332,s332,1ORS_1,0.6666666666666666,ab,33
362,s362,4AG4_1,0.8571428571428571,ab,34
392,s392,3G04_1,0.6666666666666666,ab,36
422,s422,1YJD_1,0.5,ab,37
452,s452,4XH2_1,0.42857142857142855,ab,39
482,s482,3RKD_1,0.6,ab,41
512,s512,2BRR_1,0.8,ab,41
542,s542,4JLR_1,0.8333333333333334,ab,42
572,s572,1N64_1,0.8571428571428571,ab,42
602,s602,2CMR_1,0.5,ab,43
632,s632,2R56_1,0.6666666666666666,ab,43
662,s662,3VG9_1,0.5555555555555556,ab,45
692,s692,4JR9_1,0.5,ab,45
722,s722,2VIT_1,0.6,ab,47
752,s752,4JKP_1,0.25,ab,50
782,s782,4DTG_1,0.6666666666666666,ab,51
812,s812,3QUM_1,0.7142857142857143,ab,53
2,s2,1N64_1,0.2857142857142857,ab,11
32,s32,4R4F_1,0.42857142857142855,ab,13
62,s62,4TSC_1,0.8,ab,14
92,s92,1KB5_1,0.4,ab,17
122,s122,3PJS_1,0.3333333333333333,ab,18
152,s152,1QKZ_1,0.6666666666666666,ab,20
182,s182,4UT6_1,0.6666666666666666,ab,20
212,s212,5EOC_2,0.8,ab,21
242,s242,4O51_1,0.6666666666666666,ab,23
272,s272,5DUP_1,0.6666666666666666,ab,24
302,s302,4DGV_1,0.5,ab,26
332,s332,4BZ1_1,0.6666666666666666,ab,28
362,s362,1XGT_1,0.5,ab,31
392,s392,5MVZ_1,0.8333333333333334,ab,32
422,s422,5DLM_1,0.45454545454545453,ab,36
452,s452,5F9W_1,0.5714285714285714,ab,37
482,s482,1MHP_1,0.5,ab,39
512,s512,3QUM_2,0.625,ab,40
542,s542,4J6R_1,0.4,ab,43
572,s572,5GJT_1,0.5,ab,45
602,s602,5D8J_1,0.8,ab,46
632,s632,5D93_1,0.5714285714285714,ab,48
662,s662,4M8Q_2,0.6666666666666666,ab,49
692,s692,3NCY_1,0.8333333333333334,ab,49
722,s722,4RGO_1,0.625,ab,51
752,s752,5MHR_1,0.4,ab,52
782,s782,3U30_1,0.6666666666666666,ab,53
812,s812,3KS0_1,0.8,ab,54
2,s2,5TLJ_3,0.2857142857142857,ab,10
32,s32,4H8W_1,0.2857142857142857,ab,14
62,s62,5GGT_1,0.6,ab,16
92,s92,5DRZ_1,0.375,ab,19
122,s122,2IGF_1,0.3333333333333333,ab,23
152,s152,1IC7_1,0.625,ab,24
182,s182,4ZS6_1,0.8,ab,25
212,s212,1FE8_1,0.6666666666666666,ab,26
242,s242,4ZS7_1,0.42857142857142855,ab,30
272,s272,1S78_1,0.625,ab,32
302,s302,4HHA_1,0.25,ab,36
332,s332,3G5Y_1,0.5714285714285714,ab,36
362,s362,1FRG_1,0.5,ab,38
392,s392,1AHW_1,0.625,ab,39
422,s422,5MHS_3,0.6666666666666666,ab,40
452,s452,5UQY_1,0.8333333333333334,ab,41
482,s482,4O58_1,1.0,ab,41
512,s512,4U6H_1,0.75,ab,41
542,s542,3RAJ_1,0.5714285714285714,ab,41
572,s572,4OII_1,0.5555555555555556,ab,44
602,s602,5CD5_1,0.25,ab,46
632,s632,3HMX_1,0.5555555555555556,ab,47
662,s662,1A14_1,0.6,ab,49
692,s692,1NAK_1,0.625,ab,51
722,s722,1ADQ_1,0.125,ab,54
752,s752,5KTE_1,0.5,ab,55
782,s782,4LVN_1,1.0,ab,55
812,s812,4K2U_1,1.0,ab,55
2,s2,3HI6_1,0.2222222222222222,ab,10
32,s32,4XCF_1,0.3333333333333333,ab,14
62,s62,4YQX_1,0.3333333333333333,ab,17
92,s92,5GGR_1,0.3333333333333333,ab,19
122,s122,1FNS_1,0.5,ab,21
152,s152,5U3M_1,0.5,ab,23
182,s182,2QSC_1,0.4,ab,25
212,s212,2JIX_2,0.7142857142857143,ab,26
242,s242,4CAD_1,0.42857142857142855,ab,29
272,s272,4XMK_1,0.5,ab,31
302,s302,4M8Q_1,0.5,ab,33
332,s332,3DVG_1,0.4,ab,36
362,s362,5UQY_1,0.6666666666666666,ab,38
392,s392,4CNI_1,0.7142857142857143,ab,39
422,s422,5B3J_1,0.5714285714285714,ab,41
452,s452,3N85_1,0.8571428571428571,ab,41
482,s482,4OKV_1,0.6666666666666666,ab,43
512,s512,5GJS_1,0.8333333333333334,ab,43
542,s542,4V1D_2,0.8333333333333334,ab,44
572,s572,1KIQ_1,0.5,ab,44
602,s602,4Q6I_1,0.8571428571428571,ab,45
632,s632,1NBY_1,0.5,ab,47
662,s662,5MES_1,0.5714285714285714,ab,50
692,s692,3FN0_1,0.8,ab,50
722,s722,1TET_1,0.625,ab,51
